wvg_height = 0.25 , mode = yO, SUBSRATE = Truem hx_min = 0.125, hy_min = 0.2
hx = 0.15, hy = 0.325, a = 0.324, w = 0.65, gamma = 0.09098, freqs = 186.9707 , 234.293 
hx = 0.15, hy = 0.35, a = 0.324, w = 0.65, gamma = 0.0915, freqs = 187.5152 , 237.7237 
hx = 0.15, hy = 0.325, a = 0.325, w = 0.65, gamma = 0.09245, freqs = 186.5264 , 233.635 
hx = 0.15, hy = 0.35, a = 0.325, w = 0.65, gamma = 0.09313, freqs = 187.0728 , 237.0481 
hx = 0.15, hy = 0.325, a = 0.326, w = 0.65, gamma = 0.09389, freqs = 186.1109 , 233.1593 
hx = 0.15, hy = 0.35, a = 0.326, w = 0.65, gamma = 0.09471, freqs = 186.6525 , 236.5099 
hx = 0.15, hy = 0.35, a = 0.327, w = 0.65, gamma = 0.09553, freqs = 186.3821 , 236.0016 
hx = 0.15, hy = 0.375, a = 0.327, w = 0.65, gamma = 0.0956, freqs = 186.9887 , 239.2664 
hx = 0.15, hy = 0.325, a = 0.328, w = 0.65, gamma = 0.09586, freqs = 185.3986 , 232.005 
hx = 0.15, hy = 0.35, a = 0.328, w = 0.65, gamma = 0.09693, freqs = 185.9394 , 235.2906 
hx = 0.15, hy = 0.375, a = 0.328, w = 0.65, gamma = 0.09719, freqs = 186.5438 , 238.5461 
hx = 0.15, hy = 0.35, a = 0.329, w = 0.65, gamma = 0.09824, freqs = 185.4991 , 234.5868 
hx = 0.15, hy = 0.375, a = 0.329, w = 0.65, gamma = 0.09869, freqs = 186.0997 , 237.8245 
hx = 0.15, hy = 0.35, a = 0.33, w = 0.65, gamma = 0.09947, freqs = 185.0573 , 233.871 
hx = 0.15, hy = 0.375, a = 0.33, w = 0.65, gamma = 0.1001, freqs = 185.6572 , 237.1022 
hx = 0.15, hy = 0.35, a = 0.331, w = 0.65, gamma = 0.10073, freqs = 184.628 , 233.295 
hx = 0.15, hy = 0.375, a = 0.331, w = 0.65, gamma = 0.10153, freqs = 185.2248 , 236.5172 
hx = 0.15, hy = 0.35, a = 0.332, w = 0.65, gamma = 0.10176, freqs = 184.1924 , 232.5484 
hx = 0.15, hy = 0.375, a = 0.332, w = 0.65, gamma = 0.10276, freqs = 184.7877 , 235.7796 
hx = 0.15, hy = 0.4, a = 0.332, w = 0.65, gamma = 0.10279, freqs = 185.4726 , 238.9303 
hx = 0.15, hy = 0.375, a = 0.333, w = 0.65, gamma = 0.10391, freqs = 184.3548 , 235.0533 
hx = 0.15, hy = 0.4, a = 0.333, w = 0.65, gamma = 0.10409, freqs = 185.0374 , 238.1594 
hx = 0.15, hy = 0.375, a = 0.334, w = 0.65, gamma = 0.1049, freqs = 183.9678 , 234.4164 
hx = 0.15, hy = 0.4, a = 0.334, w = 0.65, gamma = 0.10519, freqs = 184.6453 , 237.4564 
hx = 0.15, hy = 0.375, a = 0.335, w = 0.65, gamma = 0.10577, freqs = 183.5999 , 233.8024 
hx = 0.15, hy = 0.4, a = 0.335, w = 0.65, gamma = 0.10616, freqs = 184.279 , 236.7985 
hx = 0.15, hy = 0.375, a = 0.336, w = 0.65, gamma = 0.10659, freqs = 183.2232 , 233.1495 
hx = 0.15, hy = 0.4, a = 0.336, w = 0.65, gamma = 0.10712, freqs = 183.9025 , 236.1391 
hx = 0.15, hy = 0.375, a = 0.337, w = 0.65, gamma = 0.10738, freqs = 182.9242 , 232.7747 
hx = 0.15, hy = 0.4, a = 0.337, w = 0.65, gamma = 0.10795, freqs = 183.6118 , 235.7337 
hx = 0.15, hy = 0.375, a = 0.338, w = 0.65, gamma = 0.10809, freqs = 182.5522 , 232.124 
hx = 0.15, hy = 0.4, a = 0.338, w = 0.65, gamma = 0.10881, freqs = 183.2376 , 235.0724 
hx = 0.175, hy = 0.375, a = 0.339, w = 0.65, gamma = 0.10922, freqs = 184.7471 , 241.991 
