wvg_height = 0.125 , mode = yO, SUBSRATE = True
hx = 0.175, hy = 0.325, a = 0.422, w = 0.65, gamma = 0.06874, freqs = 189.3585 , 224.0516 
hx = 0.2, hy = 0.275, a = 0.423, w = 0.65, gamma = 0.06932, freqs = 189.5543 , 225.5032 
hx = 0.2, hy = 0.3, a = 0.423, w = 0.65, gamma = 0.06952, freqs = 189.9818 , 227.9178 
hx = 0.2, hy = 0.275, a = 0.424, w = 0.65, gamma = 0.07007, freqs = 189.3474 , 225.2373 
hx = 0.2, hy = 0.3, a = 0.424, w = 0.65, gamma = 0.07032, freqs = 189.7875 , 227.6849 
hx = 0.2, hy = 0.275, a = 0.425, w = 0.65, gamma = 0.07094, freqs = 189.0587 , 224.7479 
hx = 0.2, hy = 0.3, a = 0.425, w = 0.65, gamma = 0.07132, freqs = 189.498 , 227.1866 
hx = 0.2, hy = 0.275, a = 0.426, w = 0.65, gamma = 0.07175, freqs = 188.7878 , 224.3323 
hx = 0.2, hy = 0.3, a = 0.426, w = 0.65, gamma = 0.07225, freqs = 189.2257 , 226.7521 
hx = 0.2, hy = 0.275, a = 0.427, w = 0.65, gamma = 0.07257, freqs = 188.5034 , 223.8963 
hx = 0.2, hy = 0.3, a = 0.427, w = 0.65, gamma = 0.07318, freqs = 188.9361 , 226.284 
hx = 0.2, hy = 0.275, a = 0.428, w = 0.65, gamma = 0.07334, freqs = 188.2103 , 223.4205 
hx = 0.2, hy = 0.3, a = 0.428, w = 0.65, gamma = 0.07405, freqs = 188.6472 , 225.7983 
hx = 0.2, hy = 0.275, a = 0.429, w = 0.65, gamma = 0.07406, freqs = 187.9264 , 222.9794 
hx = 0.2, hy = 0.3, a = 0.429, w = 0.65, gamma = 0.07488, freqs = 188.3498 , 225.2929 
hx = 0.2, hy = 0.325, a = 0.429, w = 0.65, gamma = 0.0749, freqs = 188.799 , 227.2763 
hx = 0.2, hy = 0.3, a = 0.43, w = 0.65, gamma = 0.07561, freqs = 188.0759 , 224.833 
hx = 0.2, hy = 0.325, a = 0.43, w = 0.65, gamma = 0.07574, freqs = 188.5255 , 226.8192 
hx = 0.2, hy = 0.3, a = 0.431, w = 0.65, gamma = 0.07629, freqs = 187.812 , 224.406 
hx = 0.2, hy = 0.325, a = 0.431, w = 0.65, gamma = 0.0765, freqs = 188.2558 , 226.3545 
hx = 0.2, hy = 0.3, a = 0.432, w = 0.65, gamma = 0.07698, freqs = 187.5258 , 223.9353 
hx = 0.2, hy = 0.325, a = 0.432, w = 0.65, gamma = 0.07729, freqs = 187.9691 , 225.8747 
hx = 0.2, hy = 0.3, a = 0.433, w = 0.65, gamma = 0.07763, freqs = 187.2403 , 223.4705 
hx = 0.2, hy = 0.325, a = 0.433, w = 0.65, gamma = 0.07806, freqs = 187.6843 , 225.4178 
hx = 0.2, hy = 0.3, a = 0.434, w = 0.65, gamma = 0.07819, freqs = 187.023 , 223.1825 
hx = 0.2, hy = 0.325, a = 0.434, w = 0.65, gamma = 0.07865, freqs = 187.4776 , 225.1415 
hx = 0.2, hy = 0.3, a = 0.435, w = 0.65, gamma = 0.07874, freqs = 186.7371 , 222.6933 
hx = 0.2, hy = 0.325, a = 0.435, w = 0.65, gamma = 0.07933, freqs = 187.1928 , 224.6662 
hx = 0.2, hy = 0.35, a = 0.435, w = 0.65, gamma = 0.07937, freqs = 187.713 , 226.6628 
hx = 0.2, hy = 0.325, a = 0.436, w = 0.65, gamma = 0.07996, freqs = 186.9036 , 224.1734 
hx = 0.2, hy = 0.35, a = 0.436, w = 0.65, gamma = 0.08009, freqs = 187.4243 , 226.156 
hx = 0.2, hy = 0.325, a = 0.437, w = 0.65, gamma = 0.08055, freqs = 186.6217 , 223.7081 
hx = 0.2, hy = 0.35, a = 0.437, w = 0.65, gamma = 0.08079, freqs = 187.1305 , 225.6462 
hx = 0.225, hy = 0.3, a = 0.438, w = 0.65, gamma = 0.08086, freqs = 187.4235 , 226.8172 
hx = 0.2, hy = 0.325, a = 0.438, w = 0.65, gamma = 0.08114, freqs = 186.3208 , 223.212 
hx = 0.2, hy = 0.35, a = 0.438, w = 0.65, gamma = 0.08149, freqs = 186.8235 , 225.1287 
hx = 0.225, hy = 0.3, a = 0.439, w = 0.65, gamma = 0.0816, freqs = 187.128 , 226.314 
hx = 0.2, hy = 0.325, a = 0.439, w = 0.65, gamma = 0.08161, freqs = 186.0349 , 222.7051 
hx = 0.225, hy = 0.325, a = 0.439, w = 0.65, gamma = 0.08179, freqs = 187.6127 , 228.4217 
hx = 0.2, hy = 0.35, a = 0.439, w = 0.65, gamma = 0.08205, freqs = 186.5431 , 224.6179 
hx = 0.225, hy = 0.3, a = 0.44, w = 0.65, gamma = 0.08232, freqs = 186.8346 , 225.8407 
hx = 0.225, hy = 0.325, a = 0.44, w = 0.65, gamma = 0.08261, freqs = 187.311 , 227.9057 
hx = 0.225, hy = 0.3, a = 0.441, w = 0.65, gamma = 0.08299, freqs = 186.54 , 225.3561 
hx = 0.225, hy = 0.325, a = 0.441, w = 0.65, gamma = 0.08341, freqs = 187.0117 , 227.4164 
hx = 0.225, hy = 0.3, a = 0.442, w = 0.65, gamma = 0.08368, freqs = 186.2141 , 224.8186 
hx = 0.225, hy = 0.325, a = 0.442, w = 0.65, gamma = 0.08423, freqs = 186.6934 , 226.9151 
hx = 0.225, hy = 0.3, a = 0.443, w = 0.65, gamma = 0.08427, freqs = 185.9223 , 224.34 
hx = 0.225, hy = 0.325, a = 0.443, w = 0.65, gamma = 0.08493, freqs = 186.3921 , 226.4109 
hx = 0.225, hy = 0.35, a = 0.443, w = 0.65, gamma = 0.08496, freqs = 186.9473 , 228.5162 
hx = 0.225, hy = 0.325, a = 0.444, w = 0.65, gamma = 0.08551, freqs = 186.1797 , 226.1424 
hx = 0.225, hy = 0.35, a = 0.444, w = 0.65, gamma = 0.08559, freqs = 186.7246 , 228.1927 
hx = 0.225, hy = 0.325, a = 0.445, w = 0.65, gamma = 0.08612, freqs = 185.889 , 225.6633 
hx = 0.225, hy = 0.35, a = 0.445, w = 0.65, gamma = 0.0863, freqs = 186.426 , 227.6695 
hx = 0.225, hy = 0.325, a = 0.446, w = 0.65, gamma = 0.08672, freqs = 185.588 , 225.1664 
hx = 0.225, hy = 0.35, a = 0.446, w = 0.65, gamma = 0.08697, freqs = 186.1268 , 227.1457 
hx = 0.225, hy = 0.325, a = 0.447, w = 0.65, gamma = 0.08726, freqs = 185.2972 , 224.6829 
hx = 0.225, hy = 0.35, a = 0.447, w = 0.65, gamma = 0.08761, freqs = 185.8191 , 226.6005 
hx = 0.225, hy = 0.325, a = 0.448, w = 0.65, gamma = 0.08775, freqs = 185.0074 , 224.1936 
