hx = 0.125, hy = 0.275, a = 0.344, w = 0.65, freqs = [188.90319436 222.15194635], gamma = 0.0687
hx = 0.15, hy = 0.275, a = 0.344, w = 0.65, freqs = [190.42857059 230.36320319], gamma = 0.0693
hx = 0.125, hy = 0.3, a = 0.344, w = 0.65, freqs = [189.2684877  224.48549019], gamma = 0.06964
hx = 0.125, hy = 0.325, a = 0.344, w = 0.65, freqs = [189.68547116 226.71797684], gamma = 0.0699
hx = 0.15, hy = 0.25, a = 0.345, w = 0.65, freqs = [189.67032872 226.83743517], gamma = 0.07009
hx = 0.15, hy = 0.275, a = 0.345, w = 0.65, freqs = [190.04544749 229.78899518], gamma = 0.07091
hx = 0.15, hy = 0.3, a = 0.345, w = 0.65, freqs = [190.47408177 232.75162866], gamma = 0.07105
hx = 0.125, hy = 0.325, a = 0.345, w = 0.65, freqs = [189.31558756 226.14752183], gamma = 0.07118
hx = 0.15, hy = 0.25, a = 0.346, w = 0.65, freqs = [189.28436452 226.2476235 ], gamma = 0.07144
hx = 0.15, hy = 0.275, a = 0.346, w = 0.65, freqs = [189.65992107 229.18454155], gamma = 0.07242
hx = 0.15, hy = 0.3, a = 0.346, w = 0.65, freqs = [190.0807876  232.05086786], gamma = 0.07271
hx = 0.15, hy = 0.275, a = 0.347, w = 0.65, freqs = [189.28995124 228.64461408], gamma = 0.07383
hx = 0.15, hy = 0.3, a = 0.347, w = 0.65, freqs = [189.70175572 231.41209717], gamma = 0.07425
hx = 0.15, hy = 0.275, a = 0.348, w = 0.65, freqs = [188.91483621 228.02938699], gamma = 0.07511
hx = 0.15, hy = 0.3, a = 0.348, w = 0.65, freqs = [189.33752017 230.85602143], gamma = 0.07569
hx = 0.15, hy = 0.325, a = 0.348, w = 0.65, freqs = [189.80697568 233.77937252], gamma = 0.07572
hx = 0.15, hy = 0.275, a = 0.349, w = 0.65, freqs = [188.58807786 227.56576787], gamma = 0.07623
hx = 0.15, hy = 0.3, a = 0.349, w = 0.65, freqs = [189.0243695  230.51221918], gamma = 0.077
hx = 0.15, hy = 0.325, a = 0.349, w = 0.65, freqs = [189.49045727 233.398609  ], gamma = 0.07716
hx = 0.15, hy = 0.275, a = 0.35, w = 0.65, freqs = [188.21952321 227.00931308], gamma = 0.0774
hx = 0.15, hy = 0.3, a = 0.35, w = 0.65, freqs = [188.6539069  229.92686779], gamma = 0.07832
hx = 0.15, hy = 0.325, a = 0.35, w = 0.65, freqs = [189.11497097 232.76692849], gamma = 0.07863
hx = 0.15, hy = 0.3, a = 0.351, w = 0.65, freqs = [188.28674941 229.32160482], gamma = 0.07953
hx = 0.15, hy = 0.325, a = 0.351, w = 0.65, freqs = [188.74185109 232.16481388], gamma = 0.08003
hx = 0.15, hy = 0.3, a = 0.352, w = 0.65, freqs = [187.92078388 228.69780556], gamma = 0.08064
hx = 0.15, hy = 0.325, a = 0.352, w = 0.65, freqs = [188.38810306 231.60405958], gamma = 0.08131
