hx = 0.125, hy = 0.25, a = 0.321, w = 0.65, freqs = [190.75024056 224.8246359 ], gamma = 0.06247
hx = 0.125, hy = 0.275, a = 0.321, w = 0.65, freqs = [191.0860155  227.46840415], gamma = 0.06304
hx = 0.125, hy = 0.3, a = 0.321, w = 0.65, freqs = [191.46633718 230.29835923], gamma = 0.06315
hx = 0.125, hy = 0.25, a = 0.322, w = 0.65, freqs = [190.33433426 224.23671538], gamma = 0.06408
hx = 0.125, hy = 0.275, a = 0.322, w = 0.65, freqs = [190.67013249 226.88744242], gamma = 0.06485
hx = 0.125, hy = 0.3, a = 0.322, w = 0.65, freqs = [191.04733639 229.68335187], gamma = 0.06516
hx = 0.125, hy = 0.25, a = 0.323, w = 0.65, freqs = [189.92497209 223.66889573], gamma = 0.06556
hx = 0.125, hy = 0.275, a = 0.323, w = 0.65, freqs = [190.25914545 226.305762  ], gamma = 0.06651
hx = 0.125, hy = 0.3, a = 0.323, w = 0.65, freqs = [190.63381768 229.08185778], gamma = 0.06702
hx = 0.125, hy = 0.275, a = 0.324, w = 0.65, freqs = [189.84310237 225.72332823], gamma = 0.06809
hx = 0.125, hy = 0.3, a = 0.324, w = 0.65, freqs = [190.21686935 228.47537298], gamma = 0.06878
hx = 0.125, hy = 0.275, a = 0.325, w = 0.65, freqs = [189.42758821 225.13788706], gamma = 0.06957
hx = 0.125, hy = 0.3, a = 0.325, w = 0.65, freqs = [189.80051936 227.86702711], gamma = 0.07043
hx = 0.125, hy = 0.325, a = 0.325, w = 0.65, freqs = [190.23237013 230.58437038], gamma = 0.07059
hx = 0.125, hy = 0.275, a = 0.326, w = 0.65, freqs = [189.03132277 224.66459777], gamma = 0.07097
hx = 0.125, hy = 0.3, a = 0.326, w = 0.65, freqs = [189.40219885 227.36273007], gamma = 0.07198
hx = 0.125, hy = 0.325, a = 0.326, w = 0.65, freqs = [189.83281033 230.0575931 ], gamma = 0.07231
hx = 0.125, hy = 0.3, a = 0.327, w = 0.65, freqs = [188.98756871 226.74644395], gamma = 0.07342
hx = 0.125, hy = 0.325, a = 0.327, w = 0.65, freqs = [189.41685316 229.41188365], gamma = 0.07392
hx = 0.125, hy = 0.3, a = 0.328, w = 0.65, freqs = [188.57152458 226.1296527 ], gamma = 0.07477
hx = 0.125, hy = 0.325, a = 0.328, w = 0.65, freqs = [189.00171155 228.77402143], gamma = 0.07542
hx = 0.125, hy = 0.3, a = 0.329, w = 0.65, freqs = [188.15964383 225.52212141], gamma = 0.07602
hx = 0.125, hy = 0.325, a = 0.329, w = 0.65, freqs = [188.58731168 228.13846858], gamma = 0.07683
hx = 0.125, hy = 0.35, a = 0.329, w = 0.65, freqs = [189.06901927 230.63998585], gamma = 0.07689
hx = 0.125, hy = 0.325, a = 0.33, w = 0.65, freqs = [188.3938555  227.68636427], gamma = 0.0773
hx = 0.125, hy = 0.35, a = 0.33, w = 0.65, freqs = [188.87826182 230.16480936], gamma = 0.07742
hx = 0.15, hy = 0.275, a = 0.331, w = 0.65, freqs = [188.89329272 230.38524138], gamma = 0.07756
hx = 0.125, hy = 0.3, a = 0.331, w = 0.65, freqs = [187.54344507 224.61592594], gamma = 0.07773
hx = 0.15, hy = 0.3, a = 0.331, w = 0.65, freqs = [189.32789842 233.66167101], gamma = 0.07827
hx = 0.125, hy = 0.325, a = 0.331, w = 0.65, freqs = [187.97106106 227.19043024], gamma = 0.07876
hx = 0.125, hy = 0.35, a = 0.331, w = 0.65, freqs = [188.44736551 229.58327281], gamma = 0.079
hx = 0.15, hy = 0.275, a = 0.332, w = 0.65, freqs = [188.46475736 229.7681927 ], gamma = 0.07911
hx = 0.15, hy = 0.3, a = 0.332, w = 0.65, freqs = [188.89705115 233.00842039], gamma = 0.08
hx = 0.15, hy = 0.325, a = 0.332, w = 0.65, freqs = [189.38274102 236.2715848 ], gamma = 0.08019
hx = 0.125, hy = 0.35, a = 0.332, w = 0.65, freqs = [188.03818347 228.91182375], gamma = 0.0803
hx = 0.15, hy = 0.275, a = 0.333, w = 0.65, freqs = [188.03596018 229.13029286], gamma = 0.08054
hx = 0.15, hy = 0.3, a = 0.333, w = 0.65, freqs = [188.46232996 232.32753172], gamma = 0.08163
hx = 0.15, hy = 0.325, a = 0.333, w = 0.65, freqs = [188.94874413 235.57322548], gamma = 0.082
hx = 0.15, hy = 0.3, a = 0.334, w = 0.65, freqs = [188.072133   231.77052827], gamma = 0.08306
hx = 0.15, hy = 0.325, a = 0.334, w = 0.65, freqs = [188.55809433 234.98263903], gamma = 0.08358
hx = 0.15, hy = 0.3, a = 0.335, w = 0.65, freqs = [187.68423271 231.21880778], gamma = 0.08441
hx = 0.15, hy = 0.325, a = 0.335, w = 0.65, freqs = [188.17057624 234.40453734], gamma = 0.08508
hx = 0.15, hy = 0.3, a = 0.336, w = 0.65, freqs = [187.29871273 230.66712187], gamma = 0.08568
hx = 0.15, hy = 0.325, a = 0.336, w = 0.65, freqs = [187.78474954 233.8223468 ], gamma = 0.08649
hx = 0.15, hy = 0.35, a = 0.336, w = 0.65, freqs = [188.3249339  236.94311093], gamma = 0.08656
