hx = 0.2, hy = 0.425, a = 0.385, w = 0.65, gamma = 0.13104
hx = 0.2, hy = 0.4, a = 0.386, w = 0.65, gamma = 0.13134
hx = 0.2, hy = 0.425, a = 0.386, w = 0.65, gamma = 0.13165
hx = 0.225, hy = 0.375, a = 0.387, w = 0.65, gamma = 0.13185
hx = 0.225, hy = 0.4, a = 0.387, w = 0.65, gamma = 0.13238
hx = 0.225, hy = 0.375, a = 0.388, w = 0.65, gamma = 0.13273
hx = 0.225, hy = 0.4, a = 0.388, w = 0.65, gamma = 0.1334
hx = 0.225, hy = 0.4, a = 0.389, w = 0.65, gamma = 0.13344
hx = 0.225, hy = 0.375, a = 0.39, w = 0.65, gamma = 0.13377
hx = 0.225, hy = 0.4, a = 0.39, w = 0.65, gamma = 0.13461
hx = 0.225, hy = 0.4, a = 0.391, w = 0.65, gamma = 0.1355
hx = 0.225, hy = 0.4, a = 0.392, w = 0.65, gamma = 0.13635
hx = 0.225, hy = 0.4, a = 0.393, w = 0.65, gamma = 0.13716
hx = 0.225, hy = 0.4, a = 0.394, w = 0.65, gamma = 0.13792
hx = 0.225, hy = 0.425, a = 0.394, w = 0.65, gamma = 0.13798
hx = 0.225, hy = 0.4, a = 0.395, w = 0.65, gamma = 0.13859
hx = 0.225, hy = 0.425, a = 0.395, w = 0.65, gamma = 0.13871
hx = 0.225, hy = 0.4, a = 0.396, w = 0.65, gamma = 0.13924
hx = 0.225, hy = 0.425, a = 0.396, w = 0.65, gamma = 0.13945
hx = 0.225, hy = 0.4, a = 0.397, w = 0.65, gamma = 0.13985
hx = 0.225, hy = 0.425, a = 0.397, w = 0.65, gamma = 0.14013
hx = 0.225, hy = 0.4, a = 0.398, w = 0.65, gamma = 0.14059
hx = 0.225, hy = 0.425, a = 0.398, w = 0.65, gamma = 0.14092
hx = 0.225, hy = 0.4, a = 0.399, w = 0.65, gamma = 0.14111
hx = 0.225, hy = 0.425, a = 0.399, w = 0.65, gamma = 0.14153
hx = 0.225, hy = 0.4, a = 0.4, w = 0.65, gamma = 0.14166
hx = 0.225, hy = 0.425, a = 0.4, w = 0.65, gamma = 0.14206
hx = 0.225, hy = 0.425, a = 0.401, w = 0.65, gamma = 0.14252
hx = 0.225, hy = 0.425, a = 0.402, w = 0.65, gamma = 0.14296
hx = 0.225, hy = 0.425, a = 0.403, w = 0.65, gamma = 0.14338
hx = 0.225, hy = 0.425, a = 0.404, w = 0.65, gamma = 0.14376
hx = 0.225, hy = 0.425, a = 0.405, w = 0.65, gamma = 0.14412
hx = 0.225, hy = 0.425, a = 0.406, w = 0.65, gamma = 0.14448
hx = 0.25, hy = 0.4, a = 0.407, w = 0.65, gamma = 0.1448
hx = 0.225, hy = 0.425, a = 0.407, w = 0.65, gamma = 0.14496
hx = 0.25, hy = 0.4, a = 0.408, w = 0.65, gamma = 0.14555
hx = 0.25, hy = 0.425, a = 0.408, w = 0.65, gamma = 0.14567
hx = 0.25, hy = 0.4, a = 0.409, w = 0.65, gamma = 0.14618
hx = 0.25, hy = 0.425, a = 0.409, w = 0.65, gamma = 0.14644
hx = 0.25, hy = 0.4, a = 0.41, w = 0.65, gamma = 0.1468
hx = 0.25, hy = 0.425, a = 0.41, w = 0.65, gamma = 0.14717
hx = 0.25, hy = 0.4, a = 0.411, w = 0.65, gamma = 0.14738
hx = 0.25, hy = 0.425, a = 0.411, w = 0.65, gamma = 0.14782
hx = 0.25, hy = 0.4, a = 0.412, w = 0.65, gamma = 0.14793
hx = 0.25, hy = 0.425, a = 0.412, w = 0.65, gamma = 0.14849
hx = 0.25, hy = 0.425, a = 0.414, w = 0.65, gamma = 0.14868
hx = 0.25, hy = 0.4, a = 0.415, w = 0.65, gamma = 0.14888
hx = 0.25, hy = 0.425, a = 0.415, w = 0.65, gamma = 0.14966
hx = 0.25, hy = 0.425, a = 0.416, w = 0.65, gamma = 0.15017
hx = 0.25, hy = 0.425, a = 0.417, w = 0.65, gamma = 0.15071
hx = 0.25, hy = 0.425, a = 0.418, w = 0.65, gamma = 0.15117
hx = 0.25, hy = 0.425, a = 0.419, w = 0.65, gamma = 0.15159
hx = 0.25, hy = 0.425, a = 0.42, w = 0.65, gamma = 0.15199
hx = 0.25, hy = 0.425, a = 0.421, w = 0.65, gamma = 0.15234
hx = 0.25, hy = 0.425, a = 0.422, w = 0.65, gamma = 0.15265
hx = 0.25, hy = 0.425, a = 0.423, w = 0.65, gamma = 0.15294
hx = 0.25, hy = 0.45, a = 0.423, w = 0.65, gamma = 0.15299
hx = 0.25, hy = 0.425, a = 0.424, w = 0.65, gamma = 0.15341
hx = 0.25, hy = 0.45, a = 0.424, w = 0.65, gamma = 0.1535
hx = 0.25, hy = 0.425, a = 0.425, w = 0.65, gamma = 0.15367
hx = 0.25, hy = 0.45, a = 0.425, w = 0.65, gamma = 0.15381
hx = 0.25, hy = 0.425, a = 0.426, w = 0.65, gamma = 0.15388
hx = 0.275, hy = 0.425, a = 0.426, w = 0.65, gamma = 0.15394
hx = 0.25, hy = 0.45, a = 0.426, w = 0.65, gamma = 0.15407
hx = 0.25, hy = 0.425, a = 0.427, w = 0.65, gamma = 0.15408
hx = 0.275, hy = 0.425, a = 0.427, w = 0.65, gamma = 0.1546
hx = 0.275, hy = 0.425, a = 0.428, w = 0.65, gamma = 0.15519
hx = 0.275, hy = 0.425, a = 0.429, w = 0.65, gamma = 0.15579
hx = 0.275, hy = 0.425, a = 0.43, w = 0.65, gamma = 0.15633
hx = 0.275, hy = 0.425, a = 0.431, w = 0.65, gamma = 0.1569
hx = 0.275, hy = 0.425, a = 0.432, w = 0.65, gamma = 0.15744
hx = 0.275, hy = 0.425, a = 0.433, w = 0.65, gamma = 0.15792
hx = 0.275, hy = 0.425, a = 0.434, w = 0.65, gamma = 0.15863
hx = 0.275, hy = 0.425, a = 0.435, w = 0.65, gamma = 0.15904
hx = 0.275, hy = 0.45, a = 0.435, w = 0.65, gamma = 0.15908
hx = 0.275, hy = 0.425, a = 0.436, w = 0.65, gamma = 0.15943
hx = 0.275, hy = 0.45, a = 0.436, w = 0.65, gamma = 0.15954
hx = 0.275, hy = 0.425, a = 0.437, w = 0.65, gamma = 0.15978
hx = 0.275, hy = 0.45, a = 0.437, w = 0.65, gamma = 0.16001
hx = 0.275, hy = 0.425, a = 0.438, w = 0.65, gamma = 0.16009
hx = 0.275, hy = 0.45, a = 0.438, w = 0.65, gamma = 0.16045
hx = 0.275, hy = 0.45, a = 0.439, w = 0.65, gamma = 0.16083
hx = 0.275, hy = 0.45, a = 0.442, w = 0.65, gamma = 0.16089
hx = 0.275, hy = 0.45, a = 0.443, w = 0.65, gamma = 0.16121
hx = 0.275, hy = 0.45, a = 0.444, w = 0.65, gamma = 0.16174
hx = 0.275, hy = 0.45, a = 0.445, w = 0.65, gamma = 0.16197
hx = 0.275, hy = 0.45, a = 0.446, w = 0.65, gamma = 0.16217
hx = 0.3, hy = 0.425, a = 0.447, w = 0.65, gamma = 0.16241
hx = 0.3, hy = 0.425, a = 0.448, w = 0.65, gamma = 0.16297
hx = 0.3, hy = 0.45, a = 0.448, w = 0.65, gamma = 0.16308
hx = 0.3, hy = 0.425, a = 0.449, w = 0.65, gamma = 0.16349
hx = 0.3, hy = 0.45, a = 0.449, w = 0.65, gamma = 0.16365
