hx = 0.225, hy = 0.425, a = 0.391, w = 0.65, gamma = 0.14117
hx = 0.225, hy = 0.4, a = 0.392, w = 0.65, gamma = 0.14148
hx = 0.225, hy = 0.425, a = 0.392, w = 0.65, gamma = 0.14194
hx = 0.225, hy = 0.4, a = 0.393, w = 0.65, gamma = 0.14212
hx = 0.225, hy = 0.425, a = 0.393, w = 0.65, gamma = 0.14268
hx = 0.225, hy = 0.4, a = 0.394, w = 0.65, gamma = 0.14269
hx = 0.225, hy = 0.425, a = 0.394, w = 0.65, gamma = 0.14337
hx = 0.225, hy = 0.425, a = 0.395, w = 0.65, gamma = 0.14396
hx = 0.225, hy = 0.425, a = 0.396, w = 0.65, gamma = 0.14453
hx = 0.225, hy = 0.425, a = 0.397, w = 0.65, gamma = 0.14507
hx = 0.225, hy = 0.425, a = 0.398, w = 0.65, gamma = 0.14573
hx = 0.225, hy = 0.425, a = 0.399, w = 0.65, gamma = 0.14619
hx = 0.225, hy = 0.425, a = 0.4, w = 0.65, gamma = 0.1466
hx = 0.225, hy = 0.425, a = 0.401, w = 0.65, gamma = 0.14701
hx = 0.225, hy = 0.425, a = 0.402, w = 0.65, gamma = 0.14738
hx = 0.225, hy = 0.425, a = 0.403, w = 0.65, gamma = 0.14771
hx = 0.225, hy = 0.45, a = 0.403, w = 0.65, gamma = 0.14775
hx = 0.225, hy = 0.425, a = 0.404, w = 0.65, gamma = 0.14802
hx = 0.25, hy = 0.425, a = 0.404, w = 0.65, gamma = 0.14813
hx = 0.225, hy = 0.45, a = 0.404, w = 0.65, gamma = 0.14814
hx = 0.25, hy = 0.4, a = 0.405, w = 0.65, gamma = 0.14844
hx = 0.25, hy = 0.425, a = 0.405, w = 0.65, gamma = 0.14894
hx = 0.25, hy = 0.4, a = 0.407, w = 0.65, gamma = 0.14923
hx = 0.25, hy = 0.425, a = 0.407, w = 0.65, gamma = 0.14984
hx = 0.25, hy = 0.4, a = 0.408, w = 0.65, gamma = 0.14986
hx = 0.25, hy = 0.425, a = 0.408, w = 0.65, gamma = 0.15057
hx = 0.25, hy = 0.425, a = 0.409, w = 0.65, gamma = 0.15128
hx = 0.25, hy = 0.425, a = 0.41, w = 0.65, gamma = 0.15194
hx = 0.25, hy = 0.425, a = 0.411, w = 0.65, gamma = 0.15256
hx = 0.25, hy = 0.425, a = 0.412, w = 0.65, gamma = 0.15316
