wvg_height = 0.19 , mode = yO, SUBSRATE = True
hx = 0.125, hy = 0.275, a = 0.335, w = 0.65, freqs = [191.27329752 225.15109081], gamma = 0.05991
hx = 0.125, hy = 0.3, a = 0.335, w = 0.65, freqs = [191.63301334 227.62668452], gamma = 0.05998
hx = 0.125, hy = 0.275, a = 0.336, w = 0.65, freqs = [191.17194173 224.93298552], gamma = 0.06028
hx = 0.125, hy = 0.3, a = 0.336, w = 0.65, freqs = [191.53742746 227.43464058], gamma = 0.06039
hx = 0.125, hy = 0.25, a = 0.337, w = 0.65, freqs = [190.49209511 221.97620608], gamma = 0.06093
hx = 0.125, hy = 0.275, a = 0.337, w = 0.65, freqs = [190.80875668 224.49155323], gamma = 0.06184
hx = 0.125, hy = 0.3, a = 0.337, w = 0.65, freqs = [191.17378305 226.96597244], gamma = 0.0621
hx = 0.125, hy = 0.25, a = 0.338, w = 0.65, freqs = [190.11036327 221.44641484], gamma = 0.06224
hx = 0.125, hy = 0.275, a = 0.338, w = 0.65, freqs = [190.4257049  223.94099884], gamma = 0.06331
hx = 0.125, hy = 0.3, a = 0.338, w = 0.65, freqs = [190.78971726 226.38919503], gamma = 0.06373
hx = 0.125, hy = 0.275, a = 0.339, w = 0.65, freqs = [190.04179563 223.38944371], gamma = 0.06468
hx = 0.125, hy = 0.3, a = 0.339, w = 0.65, freqs = [190.40443584 225.80876883], gamma = 0.06526
hx = 0.125, hy = 0.275, a = 0.34, w = 0.65, freqs = [189.65464918 222.82311268], gamma = 0.06596
hx = 0.125, hy = 0.3, a = 0.34, w = 0.65, freqs = [190.01724948 225.21815423], gamma = 0.06669
hx = 0.125, hy = 0.325, a = 0.34, w = 0.65, freqs = [190.42413534 227.44599935], gamma = 0.06671
hx = 0.125, hy = 0.275, a = 0.341, w = 0.65, freqs = [189.27036057 222.2708554 ], gamma = 0.06715
hx = 0.125, hy = 0.3, a = 0.341, w = 0.65, freqs = [189.63109644 224.63661145], gamma = 0.06803
hx = 0.125, hy = 0.325, a = 0.341, w = 0.65, freqs = [190.03823767 226.85084342], gamma = 0.0682
hx = 0.125, hy = 0.275, a = 0.342, w = 0.65, freqs = [188.88583705 221.71757885], gamma = 0.06826
